Florida,1,22:50
Pennsylvania,1,25:35
Michigan,1,40:00
North Carolina,1,23:11
Virginia,0,22:40
Colorado,0,22:43
Ohio,1,22:36
Wisconsin,1,26:29
Minnesota,0,35:09
Nevada,0,24:20
Arizona,1,40:00
New Mexico,0,22:21
New Hampshire,0,40:00
Georgia,1,23:33
Iowa,1,24:02
Maine - Statewide,0.25,25:56
New Jersey,0,20:00
Oregon,0,23:05
Texas,1,21:00
Alaska,1,35:58
Rhode Island,0,20:39
Illinois,0,20:58
South Carolina,1,20:09
Nebraska 2nd District,,
Maine 2nd District,,
Connecticut,0,21:26
Delaware,0,20:00
South Dakota,1,21:00
Utah,1,23:52
Maine 1st District,,
Missouri,1,22:25
Indiana,1,18:59
Tennessee,1,20:13
Kansas,1,21:00
Mississippi,1,20:51
Washington,0,23:28
Montana,1,22:00
Nebraska 1st District,,
Louisiana,1,21:28
Nebraska - statewide,1,21:00
Kentucky,1,18:59
New York,0,21:00
Idaho,1,23:00
Arkansas,1,21:08
Alabama,1,20:26
California,0,23:00
North Dakota,1,21:00
Massachusetts,0,20:00
Hawaii,0,23:00
Maryland,0,20:00
Oklahoma,1,20:00
West Virginia,1,19:30
Vermont,0,18:59
Wyoming,1,21:00
Nebraska 3rd District,,
D.C.,0,20:00
